PERMNO,date,TICKER,PRC,SHROUT,Market Cap
18729,20181105,CL,60.23,867320,52238683.6
19166,20181105,FMC,80.49,134630,10836368.7
19350,20181105,DE,142.64999,321674,45886792.88
19393,20181105,BMY,52.03,1632199,84923313.97
19502,20181105,WBA,79.97,949164,75904645.08
19561,20181105,BA,361.98001,567885,205563018
20415,20181105,JEF,21.53,333332,7176637.96
20482,20181105,ABT,70.39,1756333,123628279.9
21020,20181105,AAL,35.72,460581,16451953.32
21178,20181105,LMT,303.20999,284426,86240804.62
21186,20181105,WRK,45.37,255112,11574431.44
21207,20181105,NEM,32.39,532660,17252857.4
21371,20181105,CAH,52.09,308829,16086902.61
21573,20181105,IP,46.17,408878,18877897.26
21776,20181105,EXC,44.18,965907,42673771.26
21792,20181105,CNP,27.49,501189,13777685.61
21936,20181105,PFE,43.52,5862110,255119027.2
22103,20181105,EMR,70.35,628466,44212583.1
22111,20181105,JNJ,142.2,2681978,381377271.6
22293,20181105,GLW,33.06,800399,26461190.94
22509,20181105,PPG,106.45,239885,25535758.25
22517,20181105,PPL,30.94,699571,21644726.74
22592,20181105,MMM,193.25,582287,112526962.8
22752,20181105,MRK,73.12,2659525,194464468
22779,20181105,MSI,124.03,162267,20125976.01
23026,20181105,FE,37.48,511445,19168958.6
23085,20181105,SCG,39.82,142625,5679327.5
23229,20181105,CMS,48.7,283331,13798219.7
23393,20181105,CHD,66.59,245408,16341718.72
23473,20181105,CINF,79.18,162738,12885594.84
23536,20181105,WEC,67.61,315526,21332712.86
23579,20181105,TXT,54.83,242961,13321551.63
23660,20181105,CTAS,177.67,106896,18992212.32
23712,20181105,PEG,53.21,505450,26894994.5
23819,20181105,HAL,35.75,876046,31318644.5
23887,20181105,FTR,5.01,105549,528800.49
23931,20181105,XEL,48.4,514023,24878713.2
24010,20181105,ETR,84.37,180855,15258736.35
24053,20181105,EVRG,56.34,271688,15306901.92
24109,20181105,AEP,73.5,493109,36243511.5
24205,20181105,NEE,170.71001,477945,81589995.73
24328,20181105,EQT,35.35,254907,9010962.45
24459,20181105,PBI,8.08,188022,1519217.76
24643,20181105,ARNC,20.76,483182,10030858.32
24766,20181105,NOC,279.44,173620,48516372.8
24942,20181105,RTN,183.06,284577,52094665.62
24985,20181105,AEE,64.65,244200,15787530
25081,20181105,CMA,83.55,161698,13509867.9
25232,20181105,OKE,63.95,411361,26306535.95
25320,20181105,CPB,37.73,300656,11343750.88
25419,20181105,WHR,116.16,63808,7411937.28
25582,20181105,HRS,149.55,117659,17595903.45
25778,20181105,CA,,,0
25785,20181105,F,9.53,3907051,37234196.03
25953,20181105,DOV,84.76,146333,12403185.08
26403,20181105,DIS,115.45,1487243,171702204.4
26607,20181105,BH,149.08,2069,308446.52
26710,20181105,L,48.8,315982,15419921.6
26825,20181105,K,63.15,347000,21913050
27043,20181105,VAR,120.9,91547,11068032.3
27422,20181105,CLF,10.95,298018,3263297.1
27633,20181105,R,56.96,53088,3023892.48
27828,20181105,HPQ,24.64,1582409,38990557.76
27887,20181105,BAX,62.5,534266,33391625
27959,20181105,DUK,83.58,712355,59538630.9
27983,20181105,XRX,28.62,245162,7016536.44
27991,20181105,PNW,83.41,111974,9339751.34
28222,20181105,APD,157.37,219272,34506834.64
28345,20181105,MUR,30.66,173047,5305621.02
28388,20181105,VNO,67.62,190286,12867139.32
28484,20181105,HES,58.64,299688,17573704.32
28804,20181105,ALK,63.9,123361,7882767.9
29102,20181105,NBR,5.68,357672,2031576.96
30681,20181105,OMC,75.47,224106,16913279.82
30940,20181105,FLS,47.36,130853,6197198.08
32707,20181105,HP,63.8,108944,6950627.2
32803,20181105,HFC,65.19,173273,11295666.87
32870,20181105,HRL,44.22,533118,23574477.96
32986,20181105,ATO,93.29,111201,10373941.29
34032,20181105,MAS,31.42,305498,9598747.16
34746,20181105,FITB,27.57,655616,18075333.12
34817,20181105,NUE,61.36,316343,19410806.48
34833,20181105,OXY,69.95,764721,53492233.95
35044,20181105,RF,17.32,1055000,18272600
35554,20181105,MTB,164.7,143791,23682377.7
36003,20181105,ROL,59.43,218212,12968339.16
36397,20181105,FHN,16.36,323943,5299707.48
36468,20181105,SHW,404.12,93626,37836139.12
37584,20181105,BEN,30.82,519100,15998662
38093,20181105,AJG,75.51,183652,13867562.52
38156,20181105,WMB,25.72,1210525,31134703
38682,20181105,RRD,6.43,70400,452672
38703,20181105,WFC,53.66,4711600,252824456
38762,20181105,NI,25.93,363037,9413549.41
39490,20181105,APA,37.58,382486,14373823.88
39538,20181105,MAT,14.26,345151,4921853.26
39642,20181105,BDX,237.32001,267564,63498291.16
39917,20181105,WY,27.62,749200,20692904
40125,20181105,DXC,71.81,281161,20190171.41
40272,20181105,IFF,146.03,106654,15574683.62
40416,20181105,AVP,1.98,442345,875843.1
40539,20181105,TJX,110.28,618764,68237293.92
41080,20181105,CMI,143.83,160561,23093488.63
41355,20181105,PH,164.10001,132416,21729466.92
42200,20181105,PKI,83.02,110734,9193136.68
42585,20181105,SJM,107.98,113738,12281429.24
42877,20181105,JBHT,108.82,109176,11880532.32
42906,20181105,HBAN,14.37,1061529,15254171.73
43123,20181105,ATI,27.74,125684,3486474.16
43350,20181105,SWK,123.78,151060,18698206.8
43449,20181105,MCD,180.39,775800,139946562
43553,20181105,VFC,86.46,396806,34307846.76
43772,20181105,BMS,46.53,91017,4235021.01
44206,20181105,ES,62.92,316886,19938467.12
44329,20181105,TFX,258.16,45796,11822695.36
44601,20181105,AVY,91.94,86710,7972117.4
44644,20181105,ADP,141.41,437732,61899682.12
45356,20181105,JCI,33.08,924922,30596419.76
45495,20181105,RDC,16.6,127069,2109345.4
45751,20181105,MMC,85.72,503708,43177849.76
45911,20181105,SWKS,83,174060,14446980
46392,20181105,ITG,27.75,32989,915444.75
46578,20181105,CLX,156.96001,127652,20036259.2
46674,20181105,GPC,98.08,146759,14394122.72
46703,20181105,HST,19.25,741677,14277282.25
46886,20181105,KLAC,92.51,153075,14160968.25
47896,20181105,JPM,109.09,3360884,366638835.6
47941,20181105,TGNA,12.18,215267,2621952.06
48486,20181105,LRCX,147.61,155183,22906562.63
48506,20181105,MCO,150.99001,191600,28929685.92
48653,20181105,HUM,326.60999,137763,44994772.05
48725,20181105,UNP,148.57001,736790,109464897.7
49015,20181105,LNC,64.48,216681,13971590.88
49154,20181105,TGT,85.35,526351,44924057.85
49373,20181105,HRB,26.99,205521,5547011.79
49656,20181105,BK,47.97,988777,47431632.69
49680,20181105,DHR,101.76,700903,71323889.28
50017,20181105,RRC,17.57,249505,4383802.85
50286,20181105,LEE,2.77,57080,158111.6
50876,20181105,LLY,110.14,1073988,118289038.3
51369,20181105,TER,35.79,186438,6672616.02
51692,20181105,PIR,1.55,85215,132083.25
52038,20181105,SYY,64.56,520689,33615681.84
52090,20181105,MKC,146.85001,121768,17881632.02
52230,20181105,RHI,61.92,122445,7581794.4
52329,20181105,JEC,76.81,141904,10899646.24
52337,20181105,THC,27.2,102397,2785198.4
52476,20181105,EFX,103.92,120575,12530154
52695,20181105,GWW,287.06,56320,16167219.2
52708,20181105,LEN,44.39,292541,12985894.99
52978,20181105,HAS,97.87,126507,12381240.09
53065,20181105,IPG,23.13,384352,8890061.76
53225,20181105,GHC,617.90997,4338,2680493.45
53613,20181105,MU,39.92,1134255,45279459.6
54148,20181105,PHM,24.74,280861,6948501.14
55976,20181105,WMT,102.91,2928735,301396118.9
56274,20181105,CAG,35,485612,16996420
56573,20181105,ITW,130.95,335353,43914475.35
57568,20181105,BLL,47.41,343911,16304820.51
57665,20181105,NKE,77.53,1273067,98700884.51
57817,20181105,JWN,67.35,168565,11352852.75
57904,20181105,AFL,43.71,763113,33355669.23
58246,20181105,NTRS,95.49,221395,21141008.55
58413,20181105,FRT,124.87,73863,9223272.81
58683,20181105,LUV,51.42,562307,28913825.94
58819,20181105,LNT,42.95,233773,10040550.35
59010,20181105,GPS,27.76,387470,10756167.2
59176,20181105,AXP,105.21,854262,89876905.02
59248,20181105,TAP,63.09,210452,13277416.68
59300,20181105,UDR,39.58,268391,10622915.78
59328,20181105,INTC,47.97,4564000,218935080
59408,20181105,BAC,28.06,9814197,275386367.8
59459,20181105,TRV,126.53,264883,33515645.99
60097,20181105,MDT,91.61,1350511,123720312.7
60206,20181105,SNA,155.08,56175,8711619
