stock_ticker,stock_price_change,directed_dollars_to_pres,directed_dollars_to_senate,directed_dollars,donated_dollars,total_money_lost,total_money_won,democrat_dollars,republican_dollars,beta
NTAP,3.2669570628500253,-38818.0,7738.0,-28196.0,73284.0,50740.0,22544.0,65362.0,7922.0,1.28597
NUE,13.180121783539576,11006.0,79396.0,307735.0,359819.0,26042.0,333777.0,74103.0,285716.0,1.7207
NVDA,-2.20855465473862,-44642.0,16894.0,-28947.0,73021.0,50984.0,22037.0,67246.0,5775.0,1.6949
NWL,-0.24135156878519126,-8667.0,8491.0,-676.0,18756.0,9716.0,9040.0,10452.0,8304.0,1.65654
ODFL,3.3128506545551772,3746.0,17129.0,106100.0,149050.0,21475.0,127575.0,18629.0,130421.0,0.90709
OI,-0.6907545164718414,0.0,16021.0,65971.0,71371.0,2700.0,68671.0,29421.0,41950.0,2.08844
OKE,2.895833333333343,-340.0,10813.0,47973.0,54527.0,3277.0,51250.0,4367.0,50160.0,2.20034
OMC,0.42251770846277736,-164314.0,46881.0,-95356.0,412350.0,253853.0,158497.0,289392.0,122958.0,0.94775
ORCL,0.9959141981613868,-259092.0,156342.0,55668.0,767764.0,356048.0,411716.0,503248.0,264516.0,0.83589
OXY,-0.28320166939931823,-17936.0,149034.0,343148.0,487498.0,72175.0,415323.0,22809.0,464689.0,1.08203
PAYX,1.676801179288745,-3684.0,5127.0,7364.0,29376.0,11006.0,18370.0,8686.0,20690.0,0.8052
PBCT,4.730538922155688,-2007.0,-4209.0,-941.0,25879.0,13410.0,12469.0,12001.0,13878.0,0.86339
PBI,1.2261580381471333,-23917.0,49271.0,83148.0,152100.0,34476.0,117624.0,87298.0,64802.0,2.04127
PCAR,4.132231404958688,-1030.0,12890.0,46410.0,58470.0,6030.0,52440.0,8987.0,49483.0,0.93874
PCG,-2.940695964711665,-85813.0,100476.0,477816.0,761864.0,142024.0,619840.0,449842.0,312022.0,0.19527
PDCO,0.9448142581060637,708.0,745.0,1358.0,3068.0,855.0,2213.0,1610.0,1458.0,0.66277
PEP,0.26175563242030364,-67364.0,30130.0,108099.0,335585.0,113743.0,221842.0,174803.0,160782.0,0.42811
PFE,6.604712910720195,-231863.0,274655.0,752912.0,1484272.0,365680.0,1118592.0,627080.0,857192.0,0.41778
PFG,3.3339473199484218,-6774.0,47649.0,207755.0,274909.0,33577.0,241332.0,115832.0,159077.0,1.753
PG,-0.9680765241442799,-71844.0,143595.0,268494.0,532404.0,131955.0,400449.0,205997.0,326407.0,0.31049
PH,5.256440934832909,-19852.0,7842.0,9980.0,69296.0,29658.0,39638.0,16193.0,53103.0,1.45657
PHM,-2.0097772949484067,-10162.0,20600.0,23338.0,63710.0,20186.0,43524.0,11336.0,52374.0,1.4819
PKI,5.9891485809682905,-2842.0,-27.0,-3061.0,3941.0,3501.0,440.0,3216.0,725.0,1.10488
PLD,-4.6890327643712055,-6075.0,235.0,-4840.0,9310.0,7075.0,2235.0,8310.0,1000.0,1.10201
PM,-2.932098765432116,-1718.0,0.0,282.0,3718.0,1718.0,2000.0,1718.0,2000.0,0.36334
PNC,5.5237102657634125,-39016.0,158322.0,379087.0,629873.0,125393.0,504480.0,112880.0,516993.0,1.26105
PNW,-1.6615711817094194,-13868.0,140031.0,322969.0,475645.0,76338.0,399307.0,122197.0,353448.0,0.14098
PPG,1.5560055419375516,-5508.0,21641.0,79563.0,127265.0,23851.0,103414.0,24036.0,103229.0,1.2678
PRGO,1.1874469889737043,-3801.0,667.0,11591.0,19511.0,3960.0,15551.0,7061.0,12450.0,0.4519
PRU,5.900339750849383,-78307.0,224360.0,757019.0,1034107.0,138544.0,895563.0,510114.0,523993.0,1.69943
PSA,2.5803103919996175,-8945.0,10950.0,27505.0,48275.0,10385.0,37890.0,15635.0,32640.0,0.46635
PSX,3.4244856999498268,-6696.0,55156.0,266200.0,326716.0,30258.0,296458.0,51571.0,275145.0,1.0194
PVH,-0.44638705477541407,-13717.0,249.0,-14466.0,15024.0,14745.0,279.0,14795.0,229.0,1.82134
PWR,7.19524973803702,-1100.0,6387.0,7012.0,23848.0,8418.0,15430.0,1048.0,22800.0,1.82937
PXD,3.1159336195891996,-14183.0,40057.0,137078.0,192774.0,27848.0,164926.0,24925.0,167849.0,1.638
PYPL,-0.3862868179623433,-67004.0,14078.0,-22608.0,134274.0,78441.0,55833.0,98396.0,35878.0,1.32995
QCOM,-0.49838756962768116,-86590.0,37876.0,72873.0,318803.0,122965.0,195838.0,197953.0,120850.0,1.07965
QEP,5.093167701863365,-50.0,16318.0,26318.0,32346.0,3014.0,29332.0,1346.0,31000.0,2.16498
REG,-1.9703026841804814,-2050.0,10100.0,1150.0,58350.0,28600.0,29750.0,12700.0,45650.0,0.43666
REGN,15.28309684529549,-39770.0,24121.0,56093.0,155141.0,49524.0,105617.0,112032.0,43109.0,1.37518
RF,6.066176470588232,-18329.0,67189.0,320845.0,479605.0,79380.0,400225.0,122338.0,357267.0,1.97222
RHI,4.480704480704503,-25792.0,11417.0,-21529.0,92731.0,57130.0,35601.0,56291.0,36440.0,1.4889
RIG,5.670103092783506,1579.0,750.0,2329.0,3571.0,621.0,2950.0,871.0,2700.0,3.09059
RJF,7.795210569777026,-56773.0,35025.0,10154.0,205964.0,97905.0,108059.0,86785.0,119179.0,1.67084
RL,2.5190686471296715,-35950.0,5325.0,-30497.0,57479.0,43988.0,13491.0,46199.0,11280.0,1.47724
RMD,1.354637026745408,-11255.0,12350.0,12670.0,76944.0,32137.0,44807.0,3137.0,73807.0,0.62351
ROK,1.8875502008032043,370.0,19125.0,21755.0,31845.0,5045.0,26800.0,7538.0,24307.0,1.54355
ROL,2.812037493833259,4500.0,15600.0,20450.0,44050.0,11800.0,32250.0,6650.0,37400.0,0.85949
ROP,2.212338262476891,0.0,3700.0,3700.0,3700.0,0,3700.0,0.0,3700.0,0.89063
ROST,0.4313788145070987,-11089.0,512.0,-12232.0,15154.0,13693.0,1461.0,13724.0,1430.0,0.58732
RRC,0.9379727685325321,360.0,1256.0,1616.0,2166.0,275.0,1891.0,156.0,2010.0,1.74462
RSG,1.4030367095906087,-738.0,-754.0,404.0,28314.0,13955.0,14359.0,12212.0,16102.0,0.42072
RTN,7.732412982816868,-92874.0,152614.0,1275122.0,1879626.0,302252.0,1577374.0,692588.0,1187038.0,0.37864
SBAC,-3.7635907443546017,-471.0,267.0,-204.0,738.0,471.0,267.0,389.0,349.0,1.19025
SBUX,0.3308823529411882,-104116.0,18586.0,-94077.0,150611.0,122344.0,28267.0,141805.0,8806.0,0.86967
SCHW,4.982871379632513,-85677.0,141889.0,342925.0,692977.0,175026.0,517951.0,235438.0,457539.0,2.02827
SEE,1.8070977574570009,-128.0,7872.0,8747.0,13059.0,2156.0,10903.0,2987.0,10072.0,0.78612
SHW,3.5932475884244326,-11045.0,48685.0,37565.0,74375.0,18405.0,55970.0,13611.0,60764.0,0.77099
SIVB,7.740619902120713,-22702.0,14128.0,-3749.0,45995.0,24872.0,21123.0,35814.0,10181.0,2.04442
SJM,0.6288825830201858,-3117.0,16510.0,30293.0,58735.0,14221.0,44514.0,3631.0,55104.0,0.33493
SLG,0.7396149949341577,-9550.0,26200.0,9254.0,45146.0,17946.0,27200.0,38700.0,6446.0,1.54069
SLM,18.00281293952179,-2600.0,9975.0,29270.0,42690.0,6710.0,35980.0,9215.0,33475.0,1.9237
SNA,1.899136178861795,0.0,5.0,5503.0,5529.0,13.0,5516.0,29.0,5500.0,1.0101
SNI,-0.47105303145418986,-27040.0,1587.0,-23703.0,30931.0,27317.0,3614.0,30931.0,0,0.91392
SNPS,0.4595744680851084,-20447.0,11896.0,2014.0,49628.0,23807.0,25821.0,42622.0,7006.0,0.85009
SO,-3.01477832512316,-49574.0,212731.0,674882.0,922178.0,123648.0,798530.0,178918.0,743260.0,0.01556
SPG,-0.8392298831660412,-33050.0,-11950.0,3775.0,123181.0,59703.0,63478.0,52203.0,70978.0,0.67296
SRCL,-0.24239159709131286,-1076.0,1426.0,-7650.0,21976.0,14813.0,7163.0,7818.0,14158.0,0.82545
SRE,-4.255523535062437,-28049.0,99403.0,271923.0,380863.0,54470.0,326393.0,157727.0,223136.0,0.3981
STT,4.916666666666686,-34566.0,105982.0,209852.0,309970.0,50059.0,259911.0,124317.0,185653.0,1.63731
STX,0.9584664536741201,-29542.0,20214.0,10736.0,97570.0,43417.0,54153.0,63925.0,33645.0,1.50544
STZ,-7.036723846339697,-8464.0,53712.0,198598.0,226364.0,13883.0,212481.0,110098.0,116266.0,0.28629
SVU,7.511737089201873,-5174.0,274.0,-5514.0,12262.0,8888.0,3374.0,11275.0,987.0,2.76326
SWK,2.4086094977792953,-4184.0,10192.0,5218.0,17934.0,6358.0,11576.0,3794.0,14140.0,1.08982
SWN,-0.5086469989827123,-720.0,5100.0,22180.0,27200.0,2510.0,24690.0,1260.0,25940.0,1.69225
SYF,4.603669089650396,-13830.0,31161.0,55676.0,86756.0,15540.0,71216.0,43180.0,43576.0,1.67033
SYK,-2.8174901764066504,-10848.0,2116.0,-10193.0,27687.0,18940.0,8747.0,14658.0,13029.0,0.50151
SYY,2.0346646571213256,-4836.0,18111.0,82978.0,110568.0,13795.0,96773.0,19030.0,91538.0,0.67059
T,1.7114914425427656,-367980.0,277630.0,2166479.0,3481363.0,657442.0,2823921.0,1577249.0,1904114.0,0.30424
TAP,-1.358721653430294,-19748.0,42661.0,151383.0,291697.0,70157.0,221540.0,67609.0,224088.0,0.84933
TDC,3.662597114317421,-8982.0,8783.0,3036.0,31348.0,14156.0,17192.0,17957.0,13391.0,1.75691
TDG,0.56196391600119,-2300.0,20050.0,15300.0,36900.0,10800.0,26100.0,0.0,36900.0,1.00876
TFX,0.11664608206393723,-7104.0,5803.0,-2001.0,19511.0,10756.0,8755.0,8617.0,10894.0,0.62769
TGT,2.152612826603331,-64850.0,78937.0,203197.0,403879.0,100341.0,303538.0,197777.0,206102.0,0.90233
THC,-22.59541984732823,-132947.0,57983.0,3258.0,312238.0,154490.0,157748.0,161398.0,150840.0,1.78251
TIF,2.4608501118568427,-11443.0,14142.0,7857.0,42929.0,17536.0,25393.0,42449.0,480.0,1.45978
TJX,1.1214442013128973,-14909.0,3132.0,-12447.0,29971.0,21209.0,8762.0,22177.0,7794.0,0.81602
TMO,0.42269334918434254,-43046.0,41322.0,196683.0,328903.0,66110.0,262793.0,183140.0,145763.0,0.86615
TRIP,-17.19634990560101,-14612.0,6777.0,-6459.0,24371.0,15415.0,8956.0,24371.0,0,1.62334
TSCO,1.7930405713417343,1527.0,1863.0,4392.0,7174.0,1391.0,5783.0,1276.0,5898.0,0.59201
TSN,0.15847860538826808,-17482.0,21059.0,107876.0,207478.0,49801.0,157677.0,62931.0,144547.0,-0.01019
TXN,1.1302709752209807,-32592.0,7094.0,85799.0,219501.0,66851.0,152650.0,104351.0,115150.0,1.04112
TXT,5.589756217680389,-8458.0,51459.0,285210.0,386686.0,50738.0,335948.0,103533.0,283153.0,1.30035
UAL,2.7511961722487968,-109589.0,92895.0,184950.0,610918.0,212984.0,397934.0,353401.0,257517.0,2.29138
ULTA,1.3160715051228067,-7339.0,8148.0,-991.0,24591.0,12791.0,11800.0,23691.0,900.0,0.85632
UNM,8.04503020318505,-8445.0,37916.0,176161.0,240793.0,32316.0,208477.0,108407.0,132386.0,1.82673
UNP,3.4805595329882095,-6004.0,236215.0,1278749.0,1604871.0,163061.0,1441810.0,532035.0,1072836.0,0.9145
UPS,2.819085849831211,-53456.0,257721.0,1653854.0,2317690.0,331918.0,1985772.0,778627.0,1539063.0,0.74789
URBN,5.9366348815749035,-1957.0,3742.0,13335.0,27835.0,7250.0,20585.0,3585.0,24250.0,0.94585
UTX,1.5305628208853932,-27631.0,185772.0,1029043.0,1298591.0,134774.0,1163817.0,499904.0,798687.0,0.9266
V,1.0316786017720432,-65245.0,142588.0,291550.0,494248.0,101349.0,392899.0,255928.0,238320.0,0.89368
VAR,-2.7687296416937954,-12316.0,15347.0,32279.0,66935.0,17328.0,49607.0,39124.0,27811.0,0.81793
VLO,6.654057771664384,936.0,75015.0,403351.0,471019.0,33834.0,437185.0,19109.0,451910.0,0.75021
VMC,11.022027175289068,-12321.0,12769.0,70368.0,111480.0,20556.0,90924.0,43823.0,67657.0,1.0788
VNO,1.120952117353994,-9096.0,61942.0,56646.0,110710.0,27032.0,83678.0,96734.0,13976.0,1.12498
